9.994737708615484273e-01,6.459132841748708165e-01,-1.355294835190969452e-02,-2.145224454649201917e-01,1.228308268772820323e-02,1.284066203130992401e-01,-1.029361473773401058e-02,-9.248808936489200105e-02,7.741395324528150754e-03,7.429501537744066797e-02,-4.796803586871060954e-03,-6.527107061005224531e-02,1.623921137786059864e-03,6.251049415793021036e-02,1.623921139478888250e-03,-6.527107061013967537e-02,-4.796803588804150059e-03,7.429501537739989503e-02,7.741395326800012272e-03,-9.248808936428748462e-02,-1.029361474007963774e-02,1.284066203116436822e-01,1.228308268960799469e-02,-2.145224454627875088e-01,-1.355294835290542059e-02,6.459132841723548291e-01
-1.355294835219579552e-02,6.459132841712469375e-01,9.994737708616264760e-01,6.459132841747515785e-01,-1.355294835062371452e-02,-2.145224454646595114e-01,1.228308268676287472e-02,1.284066203127477712e-01,-1.029361473699531848e-02,-9.248808936459035346e-02,7.741395323895045207e-03,7.429501537720066551e-02,-4.796803586193397299e-03,-6.527107060976106157e-02,1.623921137088041615e-03,6.251049415750309368e-02,1.623921140125679898e-03,-6.527107060954669138e-02,-4.796803589321950272e-03,7.429501537653984689e-02,7.741395327006030634e-03,-9.248808936331318065e-02,-1.029361473991266020e-02,1.284066203107595561e-01,1.228308268922970702e-02,-2.145224454618322452e-01
1.228308268832781387e-02,-2.145224454611312226e-01,-1.355294835093516156e-02,6.459132841706500816e-01,9.994737708617174032e-01,6.459132841740773401e-01,-1.355294834969922833e-02,-2.145224454641388445e-01,1.228308268605594888e-02,1.284066203122744276e-01,-1.029361473645118950e-02,-9.248808936419668225e-02,7.741395323348436441e-03,7.429501537678043221e-02,-4.796803585663535555e-03,-6.527107060924515480e-02,1.623921136632105978e-03,6.251049415685565325e-02,1.623921140454984841e-03,-6.527107060864256738e-02,-4.796803589303589958e-03,7.429501537557541002e-02,7.741395326626065478e-03,-9.248808936244409806e-02,-1.029361473928154871e-02,1.284066203099449022e-01
-1.029361473826292256e-02,1.284066203095386161e-01,1.228308268708324866e-02,-2.145224454610587528e-01,-1.355294834978030931e-02,6.459132841707586614e-01,9.994737708617870142e-01,6.459132841733069563e-01,-1.355294834906436117e-02,-2.145224454635279998e-01,1.228308268560297269e-02,1.284066203117349148e-01,-1.029361473604596330e-02,-9.248808936364832922e-02,7.741395323010671903e-03,7.429501537618546370e-02,-4.796803585436738675e-03,-6.527107060856245091e-02,1.623921136553975767e-03,6.251049415598788905e-02,1.623921140192312144e-03,-6.527107060777588565e-02,-4.796803588716840559e-03,7.429501537484445306e-02,7.741395325803988696e-03,-9.248808936185932972e-02
7.741395324770282589e-03,-9.248808936173050221e-02,-1.029361473714587687e-02,1.284066203096891345e-01,1.228308268608555021e-02,-2.145224454614653720e-01,-1.355294834904170222e-02,6.459132841711064943e-01,9.994737708618338656e-01,6.459132841724608554e-01,-1.355294834869672296e-02,-2.145224454628120725e-01,1.228308268536147142e-02,1.284066203110609816e-01,-1.029361473592850691e-02,-9.248808936297549244e-02,7.741395323071956214e-03,7.429501537551735924e-02,-4.796803585654071771e-03,-6.527107060781363324e-02,1.623921137068459405e-03,6.251049415531617637e-02,1.623921139436513075e-03,-6.527107060726804189e-02,-4.796803587790716798e-03,7.429501537451670135e-02
-4.796803586812452454e-03,7.429501537461807859e-02,7.741395323806030473e-03,-9.248808936204246101e-02,-1.029361473632702147e-02,1.284066203101794645e-01,1.228308268545369106e-02,-2.145224454620328070e-01,-1.355294834859123443e-02,6.459132841715700124e-01,9.994737708618522953e-01,6.459132841714249063e-01,-1.355294834863843452e-02,-2.145224454619956700e-01,1.228308268552948113e-02,1.284066203103540749e-01,-1.029361473632357457e-02,-9.248808936239207024e-02,7.741395323597795135e-03,7.429501537496251140e-02,-4.796803586403378637e-03,-6.527107060741765832e-02,1.623921137926487030e-03,6.251049415506566842e-02,1.623921138484258524e-03,-6.527107060719990195e-02
1.623921137596405365e-03,-6.527107060748435496e-02,-4.796803586003467630e-03,7.429501537505267539e-02,7.741395323163679718e-03,-9.248808936258129387e-02,-1.029361473580576655e-02,1.284066203108373827e-01,1.228308268510878987e-02,-2.145224454627279453e-01,-1.355294834842990861e-02,6.459132841722584617e-01,9.994737708618336436e-01,6.459132841705066408e-01,-1.355294834911093503e-02,-2.145224454613382792e-01,1.228308268624665051e-02,1.284066203099134273e-01,-1.029361473715436313e-02,-9.248808936212229992e-02,7.741395324499697819e-03,7.429501537485558305e-02,-4.796803587300081488e-03,-6.527107060742258493e-02,1.623921138842011197e-03,6.251049415522054453e-02
1.623921139631175287e-03,6.251049415566117817e-02,1.623921136954623165e-03,-6.527107060801062843e-02,-4.796803585530428488e-03,7.429501537564255076e-02,7.741395322782195811e-03,-9.248808936328696551e-02,-1.029361473557712479e-02,1.284066203116597804e-01,1.228308268512728722e-02,-2.145224454636660283e-01,-1.355294834883104260e-02,6.459132841732140307e-01,9.994737708617782435e-01,6.459132841701485939e-01,-1.355294835011852661e-02,-2.145224454611549536e-01,1.228308268728365953e-02,1.284066203099484271e-01,-1.029361473812672768e-02,-9.248808936229400979e-02,7.741395325363472149e-03,7.429501537508038933e-02,-4.796803588128964457e-03,-6.527107060774674230e-02
-4.796803588794371423e-03,-6.527107060830877883e-02,1.623921140098883191e-03,6.251049415626748484e-02,1.623921136675275656e-03,-6.527107060863600319e-02,-4.796803585322200955e-03,7.429501537636983011e-02,7.741395322716341371e-03,-9.248808936415248150e-02,-1.029361473578569233e-02,1.284066203126415506e-01,1.228308268576984962e-02,-2.145224454645565382e-01,-1.355294834984029952e-02,6.459132841740692355e-01,9.994737708616967531e-01,6.459132841705093053e-01,-1.355294835124806578e-02,-2.145224454615095588e-01,1.228308268824716137e-02,1.284066203103662318e-01,-1.029361473889386404e-02,-9.248808936267552405e-02,7.741395326098285401e-03,7.429501537555197044e-02
7.741395326624308203e-03,7.429501537622833218e-02,-4.796803589058058065e-03,-6.527107060898543200e-02,1.623921140134436999e-03,6.251049415689403921e-02,1.623921136686717458e-03,-6.527107060933011462e-02,-4.796803585467477975e-03,7.429501537717222992e-02,7.741395323109972679e-03,-9.248808936505795164e-02,-1.029361473662656831e-02,1.284066203133527873e-01,1.228308268690679085e-02,-2.145224454649972967e-01,-1.355294835111787305e-02,6.459132841744351650e-01,9.994737708616132643e-01,6.459132841713779438e-01,-1.355294835212664771e-02,-2.145224454621318111e-01,1.228308268889396170e-02,1.284066203108818749e-01,-1.029361473950442425e-02,-9.248808936326922969e-02
