1.204227478235298313e-02,1.203989558429143653e-02,2.543125539203362762e-04
1.081499628173103365e-05,1.027171789857752969e-05,1.484989763640634988e-05
2.130399024652622660e-03,2.103688802074085793e-03,1.162845013560901341e-04
4.183721790484692254e-02,4.196219518662987896e-02,2.137559485544746475e-04
3.407006905650356108e-03,3.442264475094196190e-03,5.707005513623628241e-04
1.019020999850522293e-03,1.036996150875410787e-03,1.361058435371939785e-04
4.228106862710976472e-04,5.014319132342891791e-04,1.750167826702688249e-04
1.460966248950995247e-04,1.402308427010792507e-04,3.138313858050125550e-05
2.888953386551471048e-03,2.950448593935280778e-03,1.439486726924696510e-04
1.769346160585152201e-04,1.940422286282631414e-04,2.314970866021752699e-04
7.841532338995030630e-04,7.864375671440917460e-04,7.540566798502231741e-05
2.127418184872475679e-03,2.155932522652991793e-03,1.598839019128551239e-04
3.813311825217722173e-04,3.435599145509920203e-04,2.411759273965247217e-04
2.844791331969026213e-03,2.909750157435854728e-03,4.199923615832106384e-04
2.948351892665089513e-04,2.936262859292467073e-04,9.773438081391849492e-05
1.067066547723592588e-03,1.033192373878804053e-03,1.832634699073786846e-04
8.043420753101621773e-03,8.064743458448741728e-03,1.064285402948336176e-04
1.028516396323901454e-02,1.027517223048845206e-02,1.527656329818073960e-04
1.085782680529664718e-03,1.119797683507561380e-03,1.576751589211738524e-04
7.368896009472776292e-04,7.557874761027291331e-04,1.025472456119936264e-04
3.157093183478426168e-03,3.256164696470335157e-03,2.700218221071596465e-04
5.839743995465068553e-03,5.890419008113962664e-03,2.535228574101149697e-04
1.860093556284464489e-02,1.870205529309817288e-02,1.360663078525854459e-04
1.715737808915729053e-03,1.735568172032126008e-03,3.714277010625236598e-05
5.083001060078370416e-03,5.131494212938890812e-03,1.555256769993566119e-04
4.312723241159621647e-04,4.117760941699711739e-04,2.439823499385950379e-04
1.218459155676105028e-02,1.225296518682528549e-02,1.896343392544235114e-04
9.297540107110506200e-04,9.159718995709358784e-04,2.248486926694910593e-04
1.504192182119615945e-02,1.507606206803348628e-02,2.595130821441470146e-04
1.450698619839823136e-02,1.453332601603761313e-02,9.339295915411925035e-05
4.243337107970630856e-05,3.574569689454530348e-05,4.160521694633838844e-05
2.402611908571403632e-04,2.142774688008806244e-04,2.138358224008952426e-04
1.164597721971971861e-03,1.245399966397816053e-03,1.642518377343708835e-04
8.996295008274163654e-05,5.595367885878203194e-05,6.881207678902148933e-05
4.637456166185393441e-03,4.633332618082584668e-03,2.448236243697872331e-04
1.631171925321120019e-04,1.856631313967273755e-04,4.596240332106229614e-05
3.861397027410869934e-03,3.857665410905845513e-03,2.412327860537993049e-04
