1.571671267523835555e-02,4.659449633529391785e-04,2.614543941794500882e-04,7.417807116444517985e-05,-8.700428077626086616e-05,-3.947561056655804110e-04,-4.934596651684649248e-04,-4.002039241905000250e-04,-3.339923826689289031e-04,-1.864172358773786382e-04,1.766851647927484507e-04,3.096278990706849616e-04,2.774699698607020803e-04
4.659449633529391785e-04,1.566150309647920680e-02,4.572167534107353642e-04,2.433842950387998957e-04,9.057294285464326353e-05,-2.060842612736162277e-04,-3.992632372887421109e-04,-4.034932999179744557e-04,-4.104394485961326442e-04,-3.974263570401330675e-04,-2.226133442072520340e-04,-4.062160494624343128e-05,2.325189314823992960e-04
2.614543941794500882e-04,4.572167534107353642e-04,1.557708158428919645e-02,4.472662517163668089e-04,3.411735468911646324e-04,1.027512833938995263e-04,-1.834906887575115211e-04,-3.578003352406158356e-04,-4.931192015918885608e-04,-4.577807324361192129e-04,-3.765848182288077453e-04,-1.049424639400544230e-04,2.388007667061146434e-05
7.417807116444517985e-05,2.433842950387998957e-04,4.472662517163668089e-04,1.562468170607916006e-02,3.779317417783243900e-04,2.076593022147273223e-04,1.267017255645921372e-04,-1.335759281931389478e-04,-3.524302084101644367e-04,-5.479459254236410245e-04,-4.313945547453167779e-04,-3.646960035294534962e-04,-1.303039635193011718e-04
-8.700428077626086616e-05,9.057294285464326353e-05,3.411735468911646324e-04,3.779317417783243900e-04,1.577510382294288263e-02,4.280407893317193725e-04,2.078115514521098261e-04,1.126756035561776395e-04,-1.543988733014791542e-04,-2.395431967286293384e-04,-4.701479774505189311e-04,-4.081204945276602387e-04,-3.964303355859732599e-04
-3.947561056655804110e-04,-2.060842612736162277e-04,1.027512833938995263e-04,2.076593022147273223e-04,4.280407893317193725e-04,1.561484469249589321e-02,4.190548807351060241e-04,1.811179665592667408e-04,1.061642022765829434e-04,-1.860347342426673864e-04,-3.546717387187073322e-04,-5.015813093158216210e-04,-4.264868194683102214e-04
-4.934596651684649248e-04,-3.992632372887421109e-04,-1.834906887575115211e-04,1.267017255645921372e-04,2.078115514521098261e-04,4.190548807351060241e-04,1.573968423725003243e-02,3.924121805135061844e-04,2.759631803717945949e-04,7.814759308420450535e-05,-1.697846622325850392e-04,-4.076870796420477869e-04,-5.113696978610997616e-04
-4.002039241905000250e-04,-4.034932999179744557e-04,-3.578003352406158356e-04,-1.335759281931389478e-04,1.126756035561776395e-04,1.811179665592667408e-04,3.924121805135061844e-04,1.574847165738534061e-02,3.358923177562617482e-04,3.129899728152667183e-04,7.380202045145310816e-06,-7.300670033556632560e-05,-3.287642588108274770e-04
-3.339923826689289031e-04,-4.104394485961326442e-04,-4.931192015918885608e-04,-3.524302084101644367e-04,-1.543988733014791542e-04,1.061642022765829434e-04,2.759631803717945949e-04,3.358923177562617482e-04,1.546596844900860294e-02,4.611225900832852478e-04,3.080264230096854206e-04,1.192851628148875289e-04,-2.020167225321236888e-04
-1.864172358773786382e-04,-3.974263570401330675e-04,-4.577807324361192129e-04,-5.479459254236410245e-04,-2.395431967286293384e-04,-1.860347342426673864e-04,7.814759308420450535e-05,3.129899728152667183e-04,4.611225900832852478e-04,1.574821927537133071e-02,3.809590455433745147e-04,2.643512380171415496e-04,9.330213533807710195e-06
1.766851647927484507e-04,-2.226133442072520340e-04,-3.765848182288077453e-04,-4.313945547453167779e-04,-4.701479774505189311e-04,-3.546717387187073322e-04,-1.697846622325850392e-04,7.380202045145310816e-06,3.080264230096854206e-04,3.809590455433745147e-04,1.567474392085157694e-02,4.382615813234439829e-04,2.628955433298809470e-04
3.096278990706849616e-04,-4.062160494624343128e-05,-1.049424639400544230e-04,-3.646960035294534962e-04,-4.081204945276602387e-04,-5.015813093158216210e-04,-4.076870796420477869e-04,-7.300670033556632560e-05,1.192851628148875289e-04,2.643512380171415496e-04,4.382615813234439829e-04,1.570029124075130594e-02,4.368642556486710391e-04
2.774699698607020803e-04,2.325189314823992960e-04,2.388007667061146434e-05,-1.303039635193011718e-04,-3.964303355859732599e-04,-4.264868194683102214e-04,-5.113696978610997616e-04,-3.287642588108274770e-04,-2.020167225321236888e-04,9.330213533807710195e-06,2.628955433298809470e-04,4.368642556486710391e-04,1.568646754624898609e-02
